immeubles_appellation_courante,immeubles_date_siecle,immeubles_adresse,immeubles_reference,immeubles_lat,immeubles_long,immeubles_coordonnees_finales,immeubles_geopoint,nom_realisateur,nationalite_realisateur,date_naissance_realisateur,id_lieu_tournage,annee_tournage,type_tournage,nom_tournage,nom_producteur,adresse_lieu,ardt_lieu,tournage_debut,tournage_duree,tournage_fin,coord_x,coord_y,filmLabel,imdbID,visa,cost,geopoint_tournage,id_lieu_tournage_count
,,,,,,,,Aditya Chopra,India,1971-05-21T00:00:00Z,2016-1025,2016,Long métrage,BEFIKRE,Firstep,Rue  Poulbot,75018,2016-02-25T00:00:00.000Z,1,2016-02-25T00:00:00.000Z,2.339724,48.886739,BEFIKRE,tt5108476,,,POINT(48.886739 2.339724),1
,,,,,,,,Yuki Saito,Japan,1979-06-21T00:00:00Z,2016-1026,2016,Long métrage,KOTO,Haut Les Mains,Rue  De Palestine,75020,2016-03-04T00:00:00.000Z,1,2016-03-04T00:00:00.000Z,2.403109,48.850078,,,,,POINT(48.850078 2.403109),1
,,,,,,,,Frédéric Forestier,France,1969-01-01T00:00:00Z,2016-1027,2016,Long métrage,MON POUSSIN,Les Films Du 24,12  Avenue  Trudaine,75009,2016-03-07T00:00:00.000Z,1,2016-03-07T00:00:00.000Z,2.343411,48.881483,MON POUSSIN,tt6286630,,,POINT(48.881483 2.343411),1
,,,,,,,,,,,2016-1028,2016,Long métrage,C'EST TOUT POUR MOI,Lgm Cinema,Rue  Manin,75019,2016-03-10T00:00:00.000Z,1,2016-03-10T00:00:00.000Z,2.385916,48.882981,C'EST TOUT POUR MOI,tt5600326,,,POINT(48.882981 2.385916),1
,,,,,,,,Valérie Lemercier,France,1964-03-09T00:00:00Z,2016-1029,2016,Long métrage,MARIE FRANCINE,Rectangle Productions,11  Square  Chatillon,75014,2016-05-04T00:00:00.000Z,2,2016-05-05T00:00:00.000Z,2.323212,48.825684,,,,,POINT(48.825684 2.323212),1
,,,,,,,,Anne Le Ny,France,1969-12-31T00:00:00Z,2016-103,2016,Long métrage,MONNAIE DE LEUR PIECE,Move Movie,157  Boulevard  Malesherbes,75017,2016-12-15T00:00:00.000Z,1,2016-12-15T00:00:00.000Z,2.306521,48.885559,,,,,POINT(48.885559 2.306521),1
,,,,,,,,Robin Campillo,France,1962-08-16T00:00:00Z,2016-1030,2016,Long métrage,120 BATTEMENTS PAR MINUTE,Les Films De Pierre,Quai  De L'hotel De Ville,75004,2016-07-02T00:00:00.000Z,1,2016-07-02T00:00:00.000Z,2.354243,48.854811,120 BATTEMENTS PAR MINUTE,tt6135348,,,POINT(48.854811 2.354243),1
,,,,,,,,Amanda Sthers,France,1978-04-18T00:00:00Z,2016-1031,2016,Long métrage,MADAME,Lgm Films,5  Avenue  Mac Mahon/cinema Mac Mahon,75017,2016-07-20T00:00:00.000Z,1,2016-07-20T00:00:00.000Z,2.294478,48.875539,MADAME,tt6045466,,,POINT(48.875539 2.294478),1
,,,,,,,,,,,2016-1032,2016,Long métrage,VIE DE CHATEAU,Srab Films,55  Boulevard  De Strasbourg,75010,2016-08-22T00:00:00.000Z,3,2016-08-24T00:00:00.000Z,2.356006,48.872852,,,,,POINT(48.872852 2.356006),1
,,,,,,,,Tarek Boudali,France,1979-11-05T00:00:00Z,2016-1033,2016,Long métrage,MARIAGE BLANC,Axel Films,Rue  Gerando,75009,2016-09-02T00:00:00.000Z,1,2016-09-02T00:00:00.000Z,2.345855,48.882566,,,,,POINT(48.882566 2.345855),1
,,,,,,,,,,,2016-1034,2016,Long métrage,S FANTOMES D'ISMAEL,Why Not Productions,39  Boulevard  Magenta,75010,2016-09-12T00:00:00.000Z,1,2016-09-12T00:00:00.000Z,2.359217,48.872477,,,,,POINT(48.872477 2.359217),1
,,,,,,,,,,,2016-1035,2016,Long métrage,BITTER FLOWERS,Mille Et Une Films,137  Avenue  De Choist,75013,2016-09-30T00:00:00.000Z,1,2016-09-30T00:00:00.000Z,2.359029,48.827028,BITTER FLOWERS,tt7411742,,,POINT(48.827028 2.359029),1
,,,,,,,,,,,2016-1036,2016,Long métrage,S FANTOMES D'ISMAEL,Why Not Productions,7  Rue  De L'echelle/hotel Normandie,75001,2016-10-19T00:00:00.000Z,1,2016-10-19T00:00:00.000Z,2.334199,48.864024,,,,,POINT(48.864024 2.334199),1
,,,,,,,,Tessa Schram,Netherlands,1988-10-18T00:00:00Z,2016-1037,2016,Long métrage,100 % COCO,Filming In France,17  Place  Du Trocadero,75016,2016-12-01T00:00:00.000Z,1,2016-12-01T00:00:00.000Z,2.28222,48.862548,,,,,POINT(48.862548 2.28222),1
,,,,,,,,Anne Fontaine,France,1959-07-15T00:00:00Z,2016-1038,2016,Long métrage,MARVIN,Cine @,Boulevard  De Strasbourg,75010,2016-08-26T00:00:00.000Z,1,2016-08-26T00:00:00.000Z,2.355912,48.872684,MARVIN,tt5989394,,,POINT(48.872684 2.355912),1
Restaurant La Fermette Marbeuf,19e siècle,"3, 5 rue Marbeuf ; 24 rue du Boccador",PA00088882,2.30186701905524,48.8674908936223,"48.8674908936,2.30186701906",POINT(48.8674908936223 2.30186701905524),Julien Hallard,France,1974-01-01T00:00:00Z,2016-1039,2016,Long métrage,S FILLES DE REIMS,Les Films Velvet,5  Rue  Marbeuf,75008,2016-09-05T00:00:00.000Z,1,2016-09-05T00:00:00.000Z,2.30209,48.867494,,,,,POINT(48.867494 2.30209),1
,,,,,,,,Anne Fontaine,France,1959-07-15T00:00:00Z,2016-1040,2016,Long métrage,MARVIN,Cine @,Boulevard  Saint Germain (angle Rue Bonaparte),75006,2016-09-09T00:00:00.000Z,1,2016-09-09T00:00:00.000Z,2.333404,48.853281,MARVIN,tt5989394,,,POINT(48.853281 2.333404),1
,,,,,,,,Maxime Govare,France,1980-09-29T00:00:00Z,2016-1041,2016,Long métrage,JUST DIVORCED,Les Improductibles,Bois*  De Boulogne,75016,2016-09-21T00:00:00.000Z,2,2016-09-22T00:00:00.000Z,2.286885,48.875133,,,,,POINT(48.875133 2.286885),1
